"CUSTOMERNAME","ORDERNUMBER","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER","SALES","ORDERDATE","DAYS_SINCE_LASTORDER","STATUS","PRODUCTLINE","MSRP","PRODUCTCODE","PHONE","ADDRESSLINE1","CITY","POSTALCODE","COUNTRY","CONTACTLASTNAME","CONTACTFIRSTNAME","DEALSIZE","Recency","ORDERNUMBER [Binned]","SALES [Binned]","Recency [Binned]","RECENCY","FREQUENCY","MONETARY","Concatenate"
"Auto-Moto Classics Inc.",3,35.875,92.8,2,26479.260000000002,8,8,"Shipped","Ships",87.375,"S18_3029","6175558428","16780 Pompton St.","Brickhaven","58339","USA","Taylor","Leslie","Medium",180,"Bin 2","Bin 1","Bin 2","3","2","1","321"
"Baane Mini Imports",4,33.81249999999999,108.57375,6.343750000000001,116599.19,32,32,"Shipped","Motorcycles",107.46875,"S10_1678","07-98 9555","Erling Skakkes gate 78","Stavern","4110","Norway","Bergulfsen","Jonas","Medium",208,"Bin 4","Bin 3","Bin 3","2","4","3","243"
"Bavarian Collectables Imports, Co.",1,28.642857142857142,84.28928571428571,7.500000000000001,34993.92,14,14,"Shipped","Planes",82.71428571428572,"S18_1662","+49 89 61 08 9555","Hansastr. 15","Munich","80686","Germany","Donnermeyer","Michael","Medium",259,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Blauer See Auto, Co.",4,36.86363636363636,108.03136363636364,3.8636363636363633,85171.58999999998,22,22,"Shipped","Classic Cars",105.81818181818181,"S12_1099","+49 69 66 90 2555","Lyonerstr. 34","Frankfurt","60528","Germany","Keitel","Roland","Medium",208,"Bin 4","Bin 2","Bin 3","2","4","2","242"
"Boards & Toys Co.",2,34,89.80666666666667,1.3333333333333333,9129.349999999999,3,3,"Shipped","Classic Cars",92.33333333333333,"S12_3380","3105552373","4097 Douglas Av.","Glendale","92561","USA","Young","Leslie","Medium",113,"Bin 1","Bin 1","Bin 2","3","1","1","311"
"CAF Imports",2,36,104.96307692307691,5.307692307692308,49642.05,13,13,"Shipped","Classic Cars",106.9230769230769,"S12_1108","+34 913 728 555","Merchants House, 27-30 Merchant's Quay","Madrid","28023","Spain","Fernandez","Jesus","Large",439,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Cambridge Collectables Co.",2,32.45454545454545,101.32909090909091,3.272727272727273,36163.619999999995,11,11,"Shipped","Classic Cars",97.36363636363636,"S10_1949","6175555555","4658 Baden Av.","Cambridge","51247","USA","Tseng","Kyung","Medium",389,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Canadian Gift Exchange Network",2,31.95454545454545,105.34090909090908,6.000000000000001,75238.92,22,22,"Shipped","Classic Cars",106.4090909090909,"S10_1949","(604) 555-3392","1900 Oak St.","Vancouver","V3F 2K1","Canada","Tannamuri","Yoshi","Large",222,"Bin 1","Bin 2","Bin 3","2","1","2","212"
"Classic Gift Ideas, Inc",2,31.809523809523814,103.3204761904762,5.857142857142858,67506.96999999999,21,21,"Shipped","Classic Cars",102.47619047619047,"S10_1949","2155554695","782 First Street","Philadelphia","71270","USA","Cervantes","Francisca","Medium",230,"Bin 1","Bin 1","Bin 3","2","1","1","211"
"Classic Legends Inc.",3,36,109.80349999999997,4.05,77795.2,20,20,"Shipped","Classic Cars",106.65,"S10_1949","2125558493","5905 Pompton St.","NYC","10022","USA","Hernandez","Maria","Medium",192,"Bin 2","Bin 2","Bin 3","2","2","2","222"
"Clover Collections, Co.",2,30.624999999999996,112.87,4.5625,57756.43,16,16,"Shipped","Classic Cars",106.875,"S12_1108","+353 1862 1555","25 Maiden Lane","Dublin","2","Ireland","Cassidy","Dean","Large",258,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Collectable Mini Designs Co.",2,38.160000000000004,91.5348,7.96,87489.22999999998,25,25,"Shipped","Classic Cars",93.12,"S10_4757","7605558146","361 Furth Circle","San Diego","91217","USA","Thompson","Valarie","Medium",460,"Bin 1","Bin 2","Bin 4","1","1","2","112"
"Collectables For Less Inc.",3,33.12500000000001,97.23708333333333,4.875000000000001,81577.98,24,24,"Shipped","Classic Cars",99.45833333333333,"S10_1949","6175558555","7825 Douglas Av.","Brickhaven","58339","USA","Nelson","Allen","Medium",132,"Bin 2","Bin 2","Bin 2","3","2","2","322"
"Corrida Auto Replicas, Ltd",3,36.343750000000014,105.17500000000003,6.781250000000001,120615.28,32,32,"Shipped","Classic Cars",102.62500000000004,"S10_1949","(91) 555 22 82","C/ Araquil, 67","Madrid","28023","Spain","Sommer","Mart¡n","Large",212,"Bin 2","Bin 4","Bin 3","2","2","4","224"
"Cruz & Sons Co.",3,36.96153846153847,96.08,6.4230769230769225,94015.73,26,26,"Shipped","Classic Cars",97.96153846153847,"S12_1099","+63 2 555 3587","15 McCallum Street - NatWest Center #13-03","Makati City","1227 MM","Philippines","Cruz","Arnold","Medium",197,"Bin 2","Bin 3","Bin 3","2","2","3","223"
"Daedalus Designs Imports",2,34.949999999999996,95.47399999999999,6.3,69052.41,20,20,"Shipped","Motorcycles",94.5,"S10_1678","20.16.1555","184, chausse de Tournai","Lille","59000","France","Rance","Martine","Small",465,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Danish Wholesale Imports",5,36.527777777777786,108.03777777777778,5.583333333333334,145041.6,36,36,"Shipped","Classic Cars",106.41666666666664,"S10_4757","31 12 3555","Vinb'ltet 34","Kobenhavn","1734","Denmark","Petersen","Jytte","Large",46,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Diecast Classics Inc.",4,35.83870967741935,108.5658064516129,5.61290322580645,122138.14000000001,31,31,"Shipped","Motorcycles",106.5806451612903,"S10_1678","2155551555","7586 Pompton St.","Allentown","70267","USA","Yu","Kyung","Medium",1,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Diecast Collectables",2,38.61111111111111,101.78333333333332,7.722222222222223,70859.78,18,18,"Shipped","Classic Cars",103.72222222222223,"S10_4962","6175552555","6251 Ingle Ln.","Boston","51003","USA","Franco","Valarie","Medium",401,"Bin 1","Bin 2","Bin 4","1","1","2","112"
"Double Decker Gift Stores, Ltd",2,29.75,99.10833333333333,4.25,36019.04,12,12,"Shipped","Classic Cars",93.25,"S10_4757","(171) 555-7555","120 Hanover Sq.","London","WA1 1DP","UK","Hardy","Thomas","Medium",495,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Dragon Souveniers, Ltd.",5,35.44186046511628,113.10558139534882,7.372093023255815,172989.68000000008,43,43,"Shipped","Classic Cars",113.44186046511629,"S10_1949","+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye","Singapore","79903","Singapore","Natividad","Eric","Large",90,"Bin 4","Bin 4","Bin 2","3","4","4","344"
"Enaco Distributors",3,38.347826086956516,88.78347826086956,6.173913043478261,78411.86000000002,23,23,"Shipped","Classic Cars",87.08695652173914,"S10_4757","(93) 203 4555","Rambla de Catalu¤a, 23","Barcelona","8022","Spain","Saavedra","Eduardo","Medium",189,"Bin 2","Bin 2","Bin 3","2","2","2","222"
"Euro Shopping Channel",26,36.01158301158298,97.38320463320461,6.424710424710426,912294.1100000002,259,259,"Disputed","Motorcycles",97.01544401544405,"S10_1678","(91) 555 94 44","C/ Moralzarzal, 86","Madrid","28034","Spain","Freyre","Diego","Large",0,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"FunGiftIdeas.com",3,34.73076923076922,109.58650501672243,6.230769230769232,98923.73000000003,26,26,"Shipped","Motorcycles",108,"S10_1678","5085552555","1785 First Street","New Bedford","50553","USA","Benitez","Violeta","Medium",89,"Bin 2","Bin 3","Bin 2","3","2","3","323"
"Gift Depot Inc.",3,36.12,108.93240000000002,4.919999999999999,101894.79000000001,25,25,"Shipped","Motorcycles",110.92,"S10_1678","2035552570","25593 South Bay Ln.","Bridgewater","97562","USA","King","Julie","Medium",26,"Bin 2","Bin 3","Bin 1","4","2","3","423"
"Gift Ideas Corp.",3,35.05263157894736,87.6,4.421052631578948,57294.420000000006,19,19,"Shipped","Planes",86.52631578947368,"S18_1662","2035554407","2440 Pompton St.","Glendale","97561","USA","Lewis","Dan","Small",179,"Bin 2","Bin 1","Bin 2","3","2","1","321"
"Gifts4AllAges.com",3,35.88461538461538,91.56384615384617,5.6923076923076925,83209.88,26,26,"Shipped","Classic Cars",90.73076923076923,"S10_4757","6175559555","8616 Spinnaker Dr.","Boston","51003","USA","Yoshido","Juri","Medium",25,"Bin 2","Bin 2","Bin 1","4","2","2","422"
"Handji Gifts& Co",4,34.33333333333333,95.5927777777778,6.305555555555556,115498.73000000001,36,36,"Shipped","Classic Cars",97.22222222222223,"S10_4962","+65 224 1555","Village Close - 106 Linden Road Sandown","Singapore","69045","Singapore","Victorino","Wendy","Large",38,"Bin 4","Bin 3","Bin 1","4","4","3","443"
"Heintze Collectables",2,32.66666666666668,112.26814814814816,7.333333333333332,100595.54999999999,27,27,"Shipped","Classic Cars",110.9259259259259,"S12_1108","86 21 3555","Smagsloget 45","Aaarhus","8200","Denmark","Ibsen","Palle","Large",222,"Bin 1","Bin 3","Bin 3","2","1","3","213"
"Herkku Gifts",3,33.55172413793104,113.55862068965517,6.862068965517239,111640.28,29,29,"Shipped","Motorcycles",109.75862068965519,"S10_1678","+47 2267 3215","Drammen 121, PR 744 Sentrum","Bergen","N 5804","Norway","Oeztan","Veysel","Medium",271,"Bin 2","Bin 3","Bin 4","1","2","3","123"
"Iberia Gift Imports, Corp.",2,39.26666666666666,93.28266666666666,6.266666666666666,54723.62,15,15,"Shipped","Trucks and Buses",93.13333333333334,"S12_4473","(95) 555 82 82","C/ Romero, 33","Sevilla","41101","Spain","Roel","Jose Pedro","Medium",238,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"L'ordine Souveniers",3,32.82051282051282,111.14743589743593,7.179487179487178,142601.33000000002,39,39,"Shipped","Classic Cars",107.7948717948718,"S12_1099","0522-556555","Strada Provinciale 124","Reggio Emilia","42100","Italy","Moroni","Maurizio","Large",21,"Bin 2","Bin 4","Bin 1","4","2","4","424"
"La Corne D'abondance, Co.",3,36.34782608695652,113.65043478260871,5.826086956521739,97203.68000000001,23,23,"Shipped","Classic Cars",112.82608695652175,"S10_4962","(1) 42.34.2555","265, boulevard Charonne","Paris","75012","France","Bertrand","Marie","Medium",193,"Bin 2","Bin 3","Bin 3","2","2","3","223"
"La Rochelle Gifts",4,34.56603773584905,97.04639754278193,7.735849056603772,180124.9,53,53,"Shipped","Motorcycles",96.15094339622642,"S10_1678","40.67.8555","67, rue des Cinquante Otages","Nantes","44000","France","Labrune","Janine","Medium",0,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Land of Toys Inc.",4,33.28571428571429,104.12061224489793,6.918367346938776,164069.44000000003,49,49,"Shipped","Motorcycles",102.9795918367347,"S10_1678","2125557818","897 Long Airport Avenue","NYC","10022","USA","Yu","Kwai","Small",198,"Bin 4","Bin 4","Bin 3","2","4","4","244"
"Lyon Souveniers",3,34.199999999999996,113.0025,4.15,78570.34000000001,20,20,"Shipped","Motorcycles",110.55,"S10_1678","+33 1 46 62 7555","27 rue du Colonel Pierre Avia","Paris","75508","France","Da Cunha","Daniel","Medium",75,"Bin 2","Bin 2","Bin 1","4","2","2","422"
"Marseille Mini Autos",3,32.16,92.39720000000003,7.279999999999999,74936.14,25,25,"Shipped","Classic Cars",99.76,"S12_1099","91.24.4555","12, rue des Bouchers","Marseille","13008","France","Lebihan","Laurence","Large",146,"Bin 2","Bin 2","Bin 2","3","2","2","322"
"Marta's Replicas Co.",2,36.14814814814815,107.07185185185185,7.2592592592592595,103080.37999999999,27,27,"Shipped","Motorcycles",104.25925925925925,"S10_1678","6175558555","39323 Spinnaker Dr.","Cambridge","51247","USA","Hernandez","Marta","Medium",231,"Bin 1","Bin 3","Bin 4","1","1","3","113"
"Microscale Inc.",2,38.1,88.494,4.6,33144.93000000001,10,10,"Shipped","Motorcycles",85.3,"S12_2823","2125551957","5290 North Pendale Street","NYC","10022","USA","Kuo","Kee","Medium",210,"Bin 1","Bin 1","Bin 3","2","1","1","211"
"Mini Auto Werke",3,35.46666666666667,98.08333333333333,3.4666666666666663,52263.899999999994,15,15,"Resolved","Classic Cars",103.00000000000001,"S10_4962","7675-3555","Kirchgasse 6","Graz","8010","Austria","Mendel","Roland","Medium",82,"Bin 2","Bin 1","Bin 2","3","2","1","321"
"Mini Caravy",3,40.99999999999999,99.26998614958447,5.052631578947369,80438.48,19,19,"Shipped","Classic Cars",101.10526315789473,"S12_4675","88.60.1555","24, place Kluber","Strasbourg","67000","France","Citeaux","Frederique","Large",47,"Bin 2","Bin 2","Bin 1","4","2","2","422"
"Mini Classics",2,35.73076923076922,95.03038461538462,7.346153846153847,85555.98999999998,26,26,"Shipped","Motorcycles",94.8076923076923,"S10_2016","9145554562","3758 North Pendale Street","White Plains","24067","USA","Frick","Steve","Medium",229,"Bin 1","Bin 2","Bin 3","2","1","2","212"
"Mini Creations Ltd.",3,32.571428571428584,95.12914285714287,7.942857142857145,108951.13,35,35,"Shipped","Classic Cars",98.05714285714284,"S10_4757","5085559555","4575 Hillside Dr.","New Bedford","50553","USA","Tam","Wing C","Medium",145,"Bin 2","Bin 3","Bin 2","3","2","3","323"
"Mini Gifts Distributors Ltd.",17,35.36666666666666,102.69633564814806,7.1666666666666625,654858.06,180,180,"Shipped","Classic Cars",102.50555555555559,"S10_1949","4155551450","5677 Strong St.","San Rafael","97562","USA","Nelson","Valarie","Large",2,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Motor Mint Distributors Inc.",3,31.739130434782602,113.40652173913045,5.739130434782608,83682.16,23,23,"Shipped","Motorcycles",112.00000000000001,"S10_2016","2155559857","11328 Douglas Av.","Philadelphia","71270","USA","Hernandez","Rosa","Small",196,"Bin 2","Bin 2","Bin 3","2","2","2","222"
"Muscle Machine Inc",4,36.97916666666668,111.15083333333334,7.270833333333332,197736.93999999997,48,48,"Shipped","Classic Cars",108.39583333333333,"S12_1108","2125557413","4092 Furth Circle","NYC","10022","USA","Young","Jeff","Large",182,"Bin 4","Bin 4","Bin 2","3","4","4","344"
"Norway Gifts By Mail, Co.",2,32.79166666666667,97.95375000000001,6.541666666666667,79224.23,24,24,"Shipped","Classic Cars",97.25,"S18_1129","+47 2212 1555","Drammensveien 126 A, PB 744 Sentrum","Oslo","N 0106","Norway","Klaeboe","Jan","Medium",284,"Bin 1","Bin 2","Bin 4","1","1","2","112"
"Online Diecast Creations Co.",3,36.70588235294118,108.3020588235294,7.382352941176469,131685.30000000002,34,34,"Shipped","Classic Cars",105,"S10_1949","6035558647","2304 Long Airport Avenue","Nashua","62005","USA","Young","Valarie","Medium",209,"Bin 2","Bin 4","Bin 3","2","2","4","224"
"Online Mini Collectables",2,38.13333333333333,94.68066666666665,7.066666666666666,57197.95999999999,15,15,"Shipped","Classic Cars",100.53333333333335,"S12_1099","6175557555","7635 Spinnaker Dr.","Brickhaven","58339","USA","Barajas","Miguel","Large",264,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Osaka Souveniers Co.",2,34.6,99.91400000000002,7.949999999999999,67605.07,20,20,"Shipped","Motorcycles",101.65000000000002,"S10_2016","+81 06 6342 5555","Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku","Osaka","530-0003","Japan","Kentary","Mory","Medium",414,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Oulu Toy Supplies, Inc.",3,34.6875,95.11875000000002,6.968749999999999,104370.38,32,32,"Shipped","Classic Cars",95.53124999999997,"S10_4757","981-443655","Torikatu 38","Oulu","90110","Finland","Koskitalo","Pirkko","Medium",121,"Bin 2","Bin 3","Bin 2","3","2","3","323"
"Petit Auto",3,31.840000000000003,93.49439999999998,6.000000000000002,74972.52,25,25,"Shipped","Classic Cars",96.56,"S10_4757","(02) 5554 67","Rue Joseph-Bens 532","Bruxelles","B-1180","Belgium","Dewey","Catherine","Medium",1,"Bin 2","Bin 2","Bin 1","4","2","2","422"
"Quebec Home Shopping Network",3,32.590909090909086,104.51500000000001,4.545454545454545,74204.79,22,22,"Shipped","Classic Cars",107.18181818181819,"S10_1949","(514) 555-8054","43 rue St. Laurent","Montreal","H1J 1C3","Canada","Fresnisre","Jean","Medium",30,"Bin 2","Bin 2","Bin 1","4","2","2","422"
"Reims Collectables",5,34.95121951219511,94.34292682926828,6.170731707317074,135042.94,41,41,"Shipped","Motorcycles",96.58536585365853,"S10_1678","26.47.1555","59 rue de l'Abbaye","Reims","51100","France","Henriot","Paul","Small",62,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Rovelli Gifts",3,34.37499999999999,85.67729166666669,8.583333333333332,137955.72000000003,48,48,"Shipped","Vintage Cars",85.75000000000001,"S18_1342","035-640555","Via Ludovico il Moro 22","Bergamo","24100","Italy","Rovelli","Giovanni","Medium",201,"Bin 2","Bin 4","Bin 3","2","2","4","224"
"Royal Canadian Collectables, Ltd.",2,33.57692307692307,86.44884615384615,7.038461538461538,74634.84999999999,26,26,"Shipped","Classic Cars",86.23076923076924,"S10_4757","(604) 555-4555","23 Tsawassen Blvd.","Tsawassen","T2F 8M4","Canada","Lincoln","Elizabeth","Small",285,"Bin 1","Bin 2","Bin 4","1","1","2","112"
"Royale Belge",4,34.75,115.195,1.75,33440.1,8,8,"Shipped","Planes",115.12499999999999,"S18_1662","(071) 23 67 2555","Boulevard Tirou, 255","Charleroi","B-6000","Belgium","Cartrain","Pascale","Medium",142,"Bin 4","Bin 1","Bin 2","3","4","1","341"
"Salzburg Collectables",4,36.050000000000004,101.39774999999997,6.700000000000002,149798.63,40,40,"Shipped","Motorcycles",102.925,"S10_1678","6562-9555","Geislweg 14","Salzburg","5020","Austria","Pipps","Georg","Large",14,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Saveley & Henriot, Co.",3,34.82926829268291,100.54804878048782,7.463414634146343,142874.25000000003,41,41,"Shipped","Classic Cars",102.02439024390243,"S10_1949","78.32.5555","2, rue du Commerce","Lyon","69004","France","Saveley","Mary","Large",456,"Bin 2","Bin 4","Bin 4","1","2","4","124"
"Scandinavian Gift Ideas",3,35.76315789473684,97.59736842105264,7.289473684210526,134259.33000000002,38,38,"Shipped","Classic Cars",99.18421052631578,"S10_1949","0695-34 6555","?kergatan 24","Boras","S-844 67","Sweden","Larsson","Maria","Large",89,"Bin 2","Bin 4","Bin 2","3","2","4","324"
"Signal Collectibles Ltd.",2,34.266666666666666,95.396,5.066666666666667,50218.51000000001,15,15,"Shipped","Trucks and Buses",90.93333333333332,"S12_4473","4155554312","2793 Furth Circle","Brisbane","94217","USA","Taylor","Sue","Medium",476,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Signal Gift Stores",3,32.0344827586207,91.42896551724138,5.758620689655173,82751.08000000002,29,29,"Shipped","Classic Cars",96.72413793103448,"S18_1129","7025551838","8489 Strong St.","Las Vegas","83030","USA","King","Sue","Medium",184,"Bin 2","Bin 2","Bin 2","3","2","2","322"
"Souveniers And Things Co.",4,34.80434782608697,95.18934782608697,6.478260869565217,151570.98000000004,46,46,"Shipped","Motorcycles",93.08695652173913,"S10_1678","+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy","Chatswood","2067","Australia","Huxley","Adrian","Small",2,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Stylish Desk Decors, Co.",3,36.03846153846154,96.99346153846152,5.307692307692308,88804.5,26,26,"Shipped","Classic Cars",96.03846153846153,"S10_4757","(171) 555-0297","35 King George","London","WX3 6FW","UK","Brown","Ann","Medium",180,"Bin 2","Bin 3","Bin 2","3","2","3","323"
"Suominen Souveniers",3,34.366666666666674,110.405,6.2,113961.14999999997,30,30,"Shipped","Classic Cars",109.6,"S12_1099","+358 9 8045 555","Software Engineering Center, SEC Oy","Espoo","FIN-02271","Finland","Suominen","Kalle","Small",146,"Bin 2","Bin 3","Bin 2","3","2","3","323"
"Super Scale Inc.",2,37.41176470588235,128.45235294117646,4.764705882352942,79472.07,17,17,"Shipped","Classic Cars",123.47058823529413,"S10_1949","2035559545","567 North Pendale Street","New Haven","97823","USA","Murphy","Leslie","Medium",393,"Bin 1","Bin 2","Bin 4","1","1","2","112"
"Technics Stores Inc.",4,34.67647058823528,104.91411764705884,7.294117647058823,120783.07,34,34,"Shipped","Motorcycles",102.29411764705884,"S10_1678","6505556809","9408 Furth Circle","Burlingame","94217","USA","Hirano","Juri","Medium",147,"Bin 4","Bin 4","Bin 2","3","4","4","344"
"Tekni Collectables Inc.",3,43.142857142857146,93.57095238095238,5,83228.19,21,21,"Shipped","Motorcycles",93.28571428571429,"S10_1678","2015559350","7476 Moss Rd.","Newark","94019","USA","Brown","William","Medium",58,"Bin 2","Bin 2","Bin 1","4","2","2","422"
"The Sharp Gifts Warehouse",4,41.40000000000001,93.37574999999998,6.075000000000001,160010.26999999996,40,40,"Shipped","Classic Cars",92.77500000000002,"S10_4757","4085553659","3086 Ingle Ln.","San Jose","94217","USA","Frick","Sue","Large",39,"Bin 4","Bin 4","Bin 1","4","4","4","444"
"Tokyo Collectables, Ltd",4,35.9375,101.18281249999998,6.343750000000001,120562.73999999996,32,32,"Shipped","Classic Cars",99.28125,"S10_1949","+81 3 3584 0555","2-2-8 Roppongi","Minato-ku","106-0032","Japan","Shimamura","Akiko","Large",39,"Bin 4","Bin 3","Bin 1","4","4","3","443"
"Toms Spezialitten, Ltd",2,36,109.36307692307695,7.615384615384616,100306.58,26,26,"Shipped","Classic Cars",107.49999999999999,"S12_1099","0221-5554327","Mehrheimerstr. 369","Koln","50739","Germany","Pfalzheim","Henriette","Medium",228,"Bin 1","Bin 3","Bin 3","2","1","3","213"
"Toys of Finland, Co.",3,35.03333333333333,105.75233333333335,5.933333333333333,111250.37999999996,30,30,"Shipped","Motorcycles",100.5,"S10_1678","90-224 8555","Keskuskatu 45","Helsinki","21240","Finland","Karttunen","Matti","Small",112,"Bin 2","Bin 3","Bin 2","3","2","3","323"
"Toys4GrownUps.com",3,35.333333333333336,97.22466666666665,7.6,104561.95999999998,30,30,"Shipped","Motorcycles",97.26666666666665,"S10_1678","6265557265","78934 Hillside Dr.","Pasadena","90003","USA","Young","Julie","Medium",140,"Bin 2","Bin 3","Bin 2","3","2","3","323"
"UK Collectables, Ltd.",3,36.0689655172414,108.53551724137932,5.896551724137931,118008.26999999999,29,29,"Shipped","Motorcycles",110.2758620689655,"S10_1678","(171) 555-2282","Berkeley Gardens 12  Brewery","Liverpool","WX1 6LT","UK","Devon","Elizabeth","Small",53,"Bin 2","Bin 3","Bin 1","4","2","3","423"
"Vida Sport, Ltd",2,34.77419354838709,112.07516129032258,8.32258064516129,117713.55999999998,31,31,"Shipped","Classic Cars",115.58064516129035,"S12_1099","0897-034555","Grenzacherweg 237","Gensve","1203","Switzerland","Holz","Michael","Medium",275,"Bin 1","Bin 3","Bin 4","1","1","3","113"
"Vitachrome Inc.",3,31.48000000000001,106.17879999999997,6.12,88041.26000000001,25,25,"Shipped","Motorcycles",102.07999999999998,"S10_1678","2125551500","2678 Kingston Rd.","NYC","10022","USA","Frick","Michael","Small",208,"Bin 2","Bin 3","Bin 3","2","2","3","223"
"Volvo Model Replicas, Co",4,34.05263157894737,119.28894736842103,3.157894736842105,75754.88,19,19,"Shipped","Classic Cars",116.00000000000001,"S10_1949","0921-12 3555","Berguvsv?gen  8","Lule","S-958 22","Sweden","Berglund","Christina","Large",194,"Bin 4","Bin 2","Bin 3","2","4","2","242"
"West Coast Collectables Co.",2,39.307692307692314,88.3076923076923,4.692307692307692,46084.63999999999,13,13,"Shipped","Classic Cars",93.23076923076924,"S10_1949","3105553722","3675 Furth Circle","Burbank","94019","USA","Thompson","Steve","Medium",488,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"giftsbymail.co.uk",2,34.42307692307693,88.97884615384615,7.96153846153846,78240.83999999998,26,26,"Shipped","Classic Cars",89.5,"S10_4757","(198) 555-8888","Garden House Crowther Way","Cowes","PO31 7PJ","UK","Bennett","Helen","Medium",212,"Bin 1","Bin 2","Bin 3","2","1","2","212"
